name,performance_clockspeed,performance_turbospeed,performance_cores,performance_threads,efficient_clockspeed,efficient_turbospeed,efficient_cores,efficient_threads,tdp,multithread_rating,single_thread_rating,l1_instruction_cache,l1_data_cache,l2_cache,l3_cache,eff_l1_instruction_cache,eff_l1_data_cache,eff_l2_cache,integer_math,floating_point_math,find_prime_numbers,random_string_sorting,data_encryption,data_compression,physics,extended_instructions,single_thread
amd turion x2 dual core l510,1.60,,2.0,2.0,,,,,20.00,603,593,2 x 64 kb,2 x 64 kb,2 x 512 kb,,,,,,,,,,,,,593
qualcomm apq8084,2.60,,4.0,4.0,,,,,,605,357,,,,,,,,3331.0,1529.0,,2929.0,,13195.0,72.0,1311.0,357
arm cortex-a72 4 core (duplicate 4),1.00,,4.0,4.0,,,,,,608,354,,,,,,,,2155.0,1962.0,,1342.0,,14153.0,65.0,441.0,354
intel celeron n3010,1.00,2.20,2.0,2.0,,,,,4.00,605,588,2 x 32 kb,2 x 24 kb,2 x 1024 kb,,,,,2892.0,628.0,3.0,1767.0,,12965.0,69.0,270.0,588
intel core2 duo t7100,1.80,,2.0,2.0,,,,,35.00,607,690,2 x 32 kb,2 x 32 kb,1 x 2048 kb,,,,,2432.0,1216.0,3.0,1914.0,,13641.0,72.0,230.0,690
intel core2 duo l7700,1.80,,2.0,2.0,,,,,17.00,607,748,2 x 32 kb,2 x 32 kb,1 x 4096 kb,,,,,,,,,,,,,748
mediatek mt6762v/cn,2.00,,4.0,4.0,,,,,,611,421,,,,,,,,3520.0,1281.0,,3343.0,,12834.0,50.0,1212.0,421
amd turion x2 dual-core mobile rm-70,2.00,,2.0,2.0,,,,,31.00,612,672,2 x 64 kb,2 x 64 kb,2 x 512 kb,,,,,2256.0,1566.0,4.0,1854.0,,14234.0,59.0,212.0,672
mediatek mt8163,1.30,,4.0,4.0,,,,,,612,346,,,,,,,,5157.0,1123.0,2.0,2480.0,,12185.0,57.0,537.0,346
intel atom z3740d,1.30,1.90,4.0,4.0,,,,,4.40,614,459,8 x 32 kb,8 x 24 kb,2 x 1024 kb,,,,,,,,,,,,,459
