name,performance_clockspeed,performance_turbospeed,performance_cores,performance_threads,efficient_clockspeed,efficient_turbospeed,efficient_cores,efficient_threads,tdp,multithread_rating,single_thread_rating,l1_instruction_cache,l1_data_cache,l2_cache,l3_cache,eff_l1_instruction_cache,eff_l1_data_cache,eff_l2_cache,integer_math,floating_point_math,find_prime_numbers,random_string_sorting,data_encryption,data_compression,physics,extended_instructions,single_thread
intel core i3 1315ue,1.20,4.50,2.0,4.0,,3.30,4.0,4.0,15.00,9696,3269,,,,,,,,34537.0,20958.0,51.0,10759.0,6321.0,103162.0,824.0,5172.0,3269
intel core i3 n300,,3.80,8.0,8.0,,,,,7.00,8750,2122,8 x 64 kb,8 x 32 kb,2 x 2048 kb,6 mb,,,,29169.0,19343.0,22.0,12797.0,7034.0,100731.0,516.0,5174.0,2122
intel core i3 1305u,1.60,4.50,1.0,2.0,1.20,3.30,4.0,4.0,15.00,8802,3276,1 x 32 kb,1 x 48 kb,1 x 1280 kb,10 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,27950.0,20052.0,36.0,10623.0,6021.0,95060.0,518.0,5262.0,3276
amd ryzen 3 7320u,2.40,4.10,4.0,8.0,,,,,15.00,8839,2378,4 x 32 kb,4 x 32 kb,4 x 512 kb,4 mb,,,,29638.0,14121.0,20.0,13922.0,6266.0,131689.0,437.0,5905.0,2378
intel core i5 1038ng7,2.00,3.80,4.0,8.0,,,,,28.00,8839,2152,4 x 32 kb,4 x 48 kb,4 x 512 kb,6 mb,,,,27545.0,15238.0,28.0,11471.0,5714.0,109286.0,698.0,6539.0,2152
amd ryzen 3 5300u,2.60,3.80,4.0,8.0,,,,,15.00,9699,2352,4 x 32 kb,4 x 32 kb,4 x 512 kb,4 mb,,,,30127.0,17873.0,19.0,14154.0,8045.0,133285.0,426.0,8518.0,2352
intel core i5 1135g7,2.40,4.20,4.0,8.0,,,,,15.00,9726,2674,4 x 32 kb,4 x 48 kb,4 x 1280 kb,8 mb,,,,32443.0,19591.0,35.0,12793.0,5611.0,105815.0,594.0,7605.0,2674
intel core i7 13800hre,2.50,5.00,6.0,12.0,,,8.0,8.0,45.00,9781,1437,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,24773.0,23067.0,85.0,13880.0,5738.0,93625.0,662.0,9890.0,1437
intel core i5 1145g7,2.60,4.40,4.0,8.0,,,,,28.00,9793,2745,4 x 32 kb,4 x 48 kb,4 x 1280 kb,8 mb,,,,33268.0,19784.0,36.0,12768.0,5587.0,106054.0,622.0,7513.0,2745
intel core i5 9500te,2.20,3.60,6.0,6.0,,,,,35.00,9861,2370,4 x 32 kb,4 x 32 kb,4 x 256 kb,9 mb,,,,25281.0,21873.0,48.0,17667.0,3240.0,134322.0,861.0,9396.0,2370
intel core i7 8750h,2.20,4.10,6.0,12.0,,,,,45.00,9883,2293,6 x 32 kb,6 x 32 kb,6 x 256 kb,9 mb,,,,35868.0,22370.0,27.0,18812.0,3429.0,141335.0,603.0,8680.0,2293
apple a15 bionic,3.20,,4.0,4.0,2.00,,2.0,2.0,,9904,3597,,,,,,,,26817.0,20879.0,89.0,14669.0,6243.0,106557.0,1196.0,4482.0,3597
amd ryzen 3 pro 4450u,2.50,3.70,4.0,8.0,,,,,15.00,9930,2349,4 x 32 kb,4 x 32 kb,4 x 512 kb,4 mb,,,,29371.0,17457.0,21.0,14443.0,8279.0,132670.0,491.0,8449.0,2349
intel core i7 11390h,3.40,5.00,4.0,8.0,,,,,35.00,9946,2875,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,,,,34967.0,19666.0,51.0,12414.0,5474.0,104191.0,703.0,6843.0,2875
intel core i3 n305,0.80,3.80,8.0,8.0,,,,,15.00,9968,2193,8 x 64 kb,8 x 32 kb,2 x 2048 kb,6 mb,,,,34379.0,22978.0,25.0,14946.0,8160.0,116378.0,584.0,5864.0,2193
intel core i5 1155g7,2.50,4.50,4.0,8.0,,,,,28.00,10060,2898,4 x 32 kb,4 x 48 kb,4 x 1280 kb,8 mb,,,,35634.0,20773.0,39.0,12772.0,5634.0,109245.0,606.0,7463.0,2898
intel core i7 1165g7,2.80,4.70,4.0,8.0,,,,,15.00,10151,2798,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,,,,33921.0,20158.0,47.0,12880.0,5687.0,105638.0,730.0,7485.0,2798
intel core i7 8850h,2.60,4.30,6.0,12.0,,,,,45.00,10183,2379,6 x 32 kb,6 x 32 kb,6 x 256 kb,9 mb,,,,37434.0,22815.0,29.0,18954.0,3604.0,143077.0,644.0,8632.0,2379
intel core i7 9700te,1.80,3.80,8.0,8.0,,,,,35.00,10203,2214,8 x 32 kb,8 x 32 kb,8 x 256 kb,12 mb,,,,30970.0,26549.0,39.0,17911.0,3263.0,135729.0,638.0,11029.0,2214
intel core i7 1365ure,1.70,4.90,2.0,4.0,,3.70,8.0,8.0,15.00,10278,3078,,,,,,,,40153.0,23647.0,54.0,12072.0,6010.0,103929.0,814.0,5602.0,3078
intel core i7 1185g7e,2.80,4.40,4.0,8.0,,,,,15.00,10345,2648,4 x 48 kb,4 x 32 kb,4 x 1280 kb,12 mb,,,,33520.0,20056.0,48.0,13935.0,6080.0,108374.0,734.0,7281.0,2648
qti qcs8550,3.20,,8.0,8.0,,,,,,10369,3332,,,,,,,,33984.0,20304.0,55.0,23205.0,6557.0,137436.0,657.0,3736.0,3332
intel core i7 1185g7,3.00,4.80,4.0,8.0,,,,,15.00,10371,2811,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,,,,34865.0,20571.0,47.0,13090.0,5764.0,107454.0,785.0,7630.0,2811
intel core i9 8950hk,2.90,4.80,6.0,12.0,,,,,45.00,10460,2431,6 x 32 kb,6 x 32 kb,6 x 256 kb,12 mb,,,,37273.0,22377.0,34.0,18906.0,3787.0,144930.0,723.0,8201.0,2431
intel core i3 1210u,1.00,4.40,2.0,4.0,0.70,3.30,4.0,4.0,9.00,10513,3367,2 x 32 kb,2 x 48 kb,2 x 1280 kb,10 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,35388.0,24617.0,51.0,11972.0,6548.0,106384.0,788.0,6072.0,3367
intel core i7 9750hf,2.60,4.50,6.0,12.0,,,,,45.00,10610,2428,6 x 32 kb,6 x 32 kb,6 x 256 kb,12 mb,,,,37639.0,23629.0,29.0,20583.0,3725.0,149145.0,597.0,9509.0,2428
intel core i7 1195g7,2.90,5.00,4.0,8.0,,,,,28.00,10736,3008,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,,,,36691.0,21157.0,56.0,13262.0,5865.0,112374.0,824.0,7543.0,3008
intel core i7 9750h,2.60,4.50,6.0,12.0,,,,,45.00,10796,2420,6 x 32 kb,6 x 32 kb,6 x 256 kb,12 mb,,,,38152.0,23591.0,32.0,20142.0,3808.0,153003.0,673.0,9274.0,2420
mediatek mt6989,3.30,,8.0,8.0,,,,,,10817,2519,,,,,,,,32884.0,25413.0,67.0,22908.0,6316.0,136213.0,860.0,4398.0,2519
intel core i5 10500e,3.10,4.20,6.0,12.0,,,,,65.00,10827,2436,6 x 32 kb,6 x 32 kb,6 x 256 kb,12 mb,,,,39467.0,24890.0,24.0,21854.0,3588.0,179646.0,515.0,11921.0,2436
intel core i3 1215u,1.20,4.40,2.0,4.0,0.90,3.30,4.0,4.0,15.00,10834,3295,2 x 32 kb,2 x 48 kb,2 x 1280 kb,10 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,36571.0,26166.0,34.0,13404.0,7289.0,120970.0,616.0,7102.0,3295
intel core i7 9850he,2.70,4.40,6.0,12.0,,,,,45.00,10868,2363,6 x 32 kb,6 x 32 kb,6 x 256 kb,9 mb,,,,41917.0,24060.0,36.0,18597.0,3804.0,138294.0,771.0,8496.0,2363
intel xeon e 2176m,2.70,4.40,6.0,12.0,,,,,45.00,10875,2465,6 x 32 kb,6 x 32 kb,6 x 256 kb,12 mb,,,,38879.0,24354.0,35.0,20177.0,3764.0,147860.0,709.0,9275.0,2465
amd ryzen 5 4500u,2.30,4.00,6.0,6.0,,,,,15.00,10902,2431,6 x 32 kb,6 x 32 kb,6 x 512 kb,8 mb,,,,31335.0,22087.0,36.0,14842.0,6836.0,125725.0,528.0,10969.0,2431
intel core i5 11300h,3.10,4.40,4.0,8.0,,,,,35.00,10914,2805,4 x 32 kb,4 x 48 kb,4 x 1280 kb,8 mb,,,,34592.0,21174.0,35.0,14981.0,6520.0,124258.0,619.0,9218.0,2805
amd ryzen 3 pro 4200ge,1.70,3.50,4.0,8.0,,,,,35.00,10930,2540,8 x 32 kb,8 x 32 kb,8 x 512 kb,4 mb,,,,32951.0,19264.0,21.0,16187.0,9458.0,149238.0,501.0,9615.0,2540
intel core i5 1230u,1.00,4.40,2.0,4.0,0.70,3.30,8.0,8.0,9.00,10977,2748,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,38758.0,25384.0,55.0,13078.0,7218.0,113988.0,853.0,6343.0,2748
intel core i5 11320h,3.20,4.50,4.0,8.0,,,,,35.00,10994,2954,4 x 32 kb,4 x 48 kb,4 x 1280 kb,8 mb,,,,37064.0,21707.0,41.0,14469.0,6299.0,124055.0,676.0,8492.0,2954
amd ryzen 3 7330u,2.30,4.30,4.0,8.0,,,,,15.00,11012,3028,4 x 32 kb,4 x 32 kb,4 x 512 kb,8 mb,,,,40367.0,22081.0,27.0,13713.0,8287.0,133193.0,466.0,8914.0,3028
samsung s5e9945,3.20,,10.0,10.0,,,,,,11014,2911,,,,,,,,39614.0,23693.0,60.0,24069.0,7641.0,148198.0,710.0,3888.0,2911
amd ryzen 3 pro 5450u,2.60,4.00,4.0,8.0,,,,,15.00,11026,2736,4 x 32 kb,4 x 32 kb,4 x 512 kb,8 mb,,,,38916.0,21513.0,29.0,13886.0,8106.0,130199.0,525.0,8966.0,2736
apple a12x bionic,2.50,,8.0,8.0,,,,,,11045,2654,,,,,,,,29494.0,22237.0,85.0,16715.0,6836.0,128245.0,1215.0,5732.0,2654
intel core i7 9850h,2.60,4.60,6.0,12.0,,,,,45.00,11046,2484,6 x 32 kb,6 x 32 kb,6 x 256 kb,12 mb,,,,39317.0,24407.0,35.0,20387.0,3819.0,152333.0,709.0,9706.0,2484
apple a16 bionic,3.50,,4.0,4.0,2.00,,2.0,2.0,,11046,4064,,,,,,,,28122.0,23865.0,96.0,16113.0,6768.0,121287.0,1344.0,5258.0,4064
amd ryzen 3 5400u,2.60,4.00,4.0,8.0,,,,,15.00,11068,2747,4 x 32 kb,4 x 32 kb,4 x 512 kb,8 mb,,,,39244.0,21446.0,29.0,14227.0,8213.0,129823.0,498.0,8811.0,2747
intel core i5 10500h,2.50,4.50,6.0,12.0,,,,,45.00,11218,2581,6 x 32 kb,6 x 32 kb,6 x 256 kb,12 mb,,,,40765.0,25724.0,34.0,20828.0,3712.0,167722.0,610.0,10528.0,2581
intel core i3 11100he,2.40,4.40,4.0,8.0,,,,,45.00,11289,3070,,,,,,,,38218.0,19951.0,41.0,17486.0,7926.0,133296.0,460.0,7353.0,3070
amd ryzen 3 5425u,2.70,4.10,4.0,8.0,,,,,15.00,11325,2923,4 x 32 kb,4 x 32 kb,4 x 512 kb,8 mb,,,,41455.0,22670.0,27.0,14239.0,8624.0,136337.0,485.0,9095.0,2923
intel xeon e 2186m,2.90,4.80,6.0,12.0,,,,,45.00,11379,2547,6 x 32 kb,6 x 32 kb,6 x 256 kb,12 mb,,,,40267.0,25089.0,36.0,21034.0,3925.0,154549.0,740.0,9773.0,2547
amd ryzen 3 pro 5475u,2.70,4.10,4.0,8.0,,,,,15.00,11381,2905,4 x 32 kb,4 x 32 kb,4 x 512 kb,8 mb,,,,41660.0,22900.0,27.0,14211.0,8750.0,139193.0,457.0,9305.0,2905
qti sm8650,3.30,,8.0,8.0,,,,,,11519,2964,,,,,,,,35892.0,24335.0,80.0,23619.0,7702.0,148658.0,840.0,4230.0,2964
intel core i3 13100e,3.30,4.40,4.0,8.0,,,,,65.00,11650,2750,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,,,,33583.0,25932.0,56.0,12411.0,6623.0,131016.0,1061.0,8798.0,2750
intel core i7 1250u,1.10,4.70,2.0,4.0,0.80,3.50,8.0,8.0,9.00,11673,2744,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,41486.0,27269.0,59.0,14078.0,7951.0,123680.0,910.0,6702.0,2744
intel core i7 11370h,3.30,4.80,4.0,8.0,,,,,35.00,11678,2934,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,,,,36400.0,22266.0,47.0,15545.0,6854.0,128215.0,745.0,9345.0,2934
amd ryzen 5 5500h,3.30,4.20,4.0,8.0,,,,,45.00,11712,3003,4 x 32 kb,4 x 32 kb,4 x 512 kb,8 mb,,,,40704.0,23162.0,26.0,14826.0,9045.0,149531.0,480.0,10605.0,3003
microsoft sq3,3.00,,4.0,4.0,2.40,,4.0,4.0,,11727,2367,,,,,,,,35778.0,27886.0,42.0,22968.0,7331.0,148640.0,627.0,6065.0,2367
snapdragon 8cx gen 3 (duplicate 1),3.00,,4.0,4.0,2.40,,4.0,4.0,,11772,2417,,,,,,,,34657.0,28772.0,43.0,22728.0,7412.0,144229.0,668.0,5899.0,2417
amd ryzen 5 7235hs,3.20,4.20,4.0,8.0,,,,,45.00,11781,2773,4 x 32 kb,4 x 32 kb,4 x 512 kb,8 mb,,,,39119.0,22296.0,29.0,14409.0,8704.0,146993.0,541.0,10658.0,2773
intel core i7 10850h,2.70,5.10,6.0,12.0,,,,,45.00,11790,2682,6 x 32 kb,6 x 32 kb,6 x 256 kb,12 mb,,,,40473.0,25543.0,41.0,21756.0,3960.0,168573.0,718.0,10479.0,2682
intel xeon e 2276m,2.80,4.70,6.0,12.0,,,,,45.00,11810,2614,6 x 32 kb,6 x 32 kb,6 x 256 kb,12 mb,,,,41379.0,25749.0,38.0,21739.0,4073.0,162583.0,776.0,10191.0,2614
intel core i7 11375h,3.30,5.00,4.0,8.0,,,,,35.00,11822,2964,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,,,,36401.0,22305.0,50.0,15890.0,6858.0,127895.0,812.0,9077.0,2964
intel core i7 10750h,2.60,5.00,6.0,12.0,,,,,45.00,11826,2652,6 x 32 kb,6 x 32 kb,6 x 256 kb,12 mb,,,,40371.0,25448.0,40.0,21799.0,4017.0,170725.0,705.0,10681.0,2652
intel core i3 12100te,2.10,4.00,4.0,8.0,,,,,35.00,11859,3139,4 x 48 kb,4 x 32 kb,4 x 1280 kb,12 mb,,,,36078.0,28121.0,43.0,13547.0,7080.0,141267.0,682.0,9507.0,3139
intel core i7 8700b,3.20,4.60,6.0,12.0,,,,,65.00,11865,2732,6 x 32 kb,6 x 32 kb,6 x 256 kb,12 mb,,,,41936.0,24258.0,36.0,20297.0,4681.0,179541.0,796.0,8084.0,2732
intel core i5 1335ue,1.30,4.50,2.0,4.0,0.90,3.40,8.0,8.0,28.00,11921,3373,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,37075.0,26391.0,61.0,12578.0,7507.0,129430.0,871.0,7825.0,3373
amd ryzen 5 pro 4500u,2.30,4.00,6.0,12.0,,,,,15.00,12117,2491,6 x 32 kb,6 x 32 kb,6 x 512 kb,8 mb,,,,41948.0,22654.0,28.0,16803.0,9685.0,149226.0,602.0,9089.0,2491
intel core i3 1315u,1.20,4.50,2.0,4.0,0.90,3.30,4.0,4.0,15.00,12148,3502,2 x 32 kb,2 x 48 kb,2 x 1280 kb,10 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,38844.0,28113.0,45.0,14860.0,8070.0,134683.0,757.0,7820.0,3502
apple a17 pro,3.80,,2.0,2.0,2.10,,4.0,4.0,,12246,4538,,,,,,,,34182.0,28636.0,128.0,16159.0,7146.0,125776.0,1442.0,5832.0,4538
amd ryzen 3 pro 7330u,2.30,4.30,4.0,8.0,,,,,15.00,12400,3127,4 x 32 kb,4 x 32 kb,4 x 512 kb,8 mb,,,,42864.0,23848.0,33.0,15570.0,9206.0,143954.0,589.0,9895.0,3127
amd ryzen 3 7335u,3.00,4.30,4.0,8.0,,,,,28.00,12436,3001,8 x 32 kb,8 x 32 kb,8 x 512 kb,8 mb,,,,41768.0,24020.0,37.0,15048.0,9179.0,142950.0,661.0,10200.0,3001
amd ryzen 3 pro 7335u,3.00,4.30,4.0,8.0,,,,,30.00,12440,3119,4 x 32 kb,4 x 32 kb,4 x 512 kb,8 mb,,,,42608.0,24056.0,31.0,15435.0,9439.0,148353.0,588.0,10155.0,3119
intel xeon e5 4628l v4,1.80,2.20,14.0,28.0,,,,,75.00,12461,1327,,,,,,,,49234.0,32190.0,58.0,26723.0,3693.0,216580.0,682.0,13311.0,1327
intel core ultra 5 134u,0.70,4.40,2.0,4.0,0.50,3.60,10.0,10.0,30.00,12549,3101,2 x 64 kb,2 x 48 kb,5 x 2048 kb,12 mb,10 x 64 kb,10 x 32 kb,,52216.0,32629.0,56.0,13195.0,8175.0,125630.0,899.0,7122.0,3101
intel xeon w 10855m,2.80,5.10,6.0,12.0,,,,,45.00,12589,2760,6 x 32 kb,6 x 32 kb,6 x 256 kb,12 mb,,,,42307.0,26859.0,46.0,23191.0,4226.0,177895.0,807.0,10992.0,2760
amd ryzen 5 pro 4650u,2.10,4.00,6.0,12.0,,,,,15.00,12624,2414,6 x 32 kb,6 x 32 kb,6 x 512 kb,8 mb,,,,44136.0,24825.0,27.0,18002.0,10181.0,164110.0,572.0,10135.0,2414
intel core i5 1240u,1.70,4.40,2.0,4.0,1.20,3.30,8.0,8.0,29.00,12652,3092,6 x 32 kb,6 x 64 kb,1 x 2048 kb,12 mb,,,,43851.0,28473.0,62.0,14853.0,8331.0,132726.0,939.0,7386.0,3092
amd ryzen 3 8440u,3.00,4.70,4.0,8.0,,,,,28.00,12805,3648,4 x 32 kb,4 x 32 kb,4 x 1024 kb,8 mb,,,,37468.0,23017.0,43.0,17725.0,8012.0,146273.0,685.0,11059.0,3648
intel core i7 10700te,2.00,4.40,8.0,16.0,,,,,35.00,12969,2511,4 x 32 kb,4 x 32 kb,4 x 256 kb,16 mb,,,,53328.0,31979.0,39.0,25259.0,4022.0,202164.0,632.0,12877.0,2511
amd ryzen 3 7440u,3.00,4.70,4.0,8.0,,,,,28.00,12991,2614,,,,,,,,36758.0,20291.0,40.0,21479.0,9215.0,153689.0,939.0,10356.0,2614
amd ryzen embedded v2516,2.10,4.00,6.0,12.0,,,,,15.00,13016,2439,6 x 32 kb,6 x 32 kb,6 x 512 kb,8 mb,,,,46097.0,26605.0,26.0,19263.0,10333.0,180550.0,516.0,11103.0,2439
amd ryzen 5 5500u,2.10,4.00,6.0,12.0,,,,,15.00,13018,2441,6 x 32 kb,6 x 32 kb,6 x 512 kb,8 mb,,,,46006.0,26453.0,26.0,19315.0,10620.0,177155.0,537.0,10972.0,2441
apple a18,3.80,,2.0,2.0,2.00,,4.0,4.0,,13030,4102,,,,,,,,38460.0,25670.0,134.0,17521.0,8010.0,135423.0,1290.0,6486.0,4102
apple a18 pro,4.10,,2.0,2.0,2.40,,4.0,4.0,8.00,13063,4166,,,,,,,,37675.0,25776.0,139.0,17489.0,8061.0,135491.0,1488.0,6604.0,4166
amd ryzen 7 4700u,2.00,4.10,8.0,8.0,,,,,15.00,13355,2521,8 x 32 kb,8 x 32 kb,8 x 512 kb,8 mb,,,,42133.0,28577.0,38.0,18386.0,8563.0,156093.0,602.0,13544.0,2521
intel core i5 1235u,1.30,4.40,2.0,4.0,0.90,3.30,8.0,8.0,15.00,13370,3214,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,50323.0,33881.0,37.0,17461.0,9638.0,150840.0,733.0,8353.0,3214
intel core i5 1245u,1.60,4.40,2.0,4.0,1.20,3.30,8.0,8.0,15.00,13374,3118,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,51018.0,33442.0,41.0,16978.0,9471.0,147490.0,783.0,8155.0,3118
intel core i5 1334u,1.30,4.60,2.0,4.0,0.90,3.40,8.0,8.0,15.00,13409,3300,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,50353.0,34859.0,38.0,16859.0,9423.0,152479.0,702.0,8687.0,3300
amd ryzen 5 4600u,2.10,4.00,6.0,12.0,,,,,15.00,13466,2439,6 x 32 kb,6 x 32 kb,6 x 512 kb,8 mb,,,,44643.0,25989.0,27.0,20777.0,11652.0,184391.0,559.0,11766.0,2439
intel core i7 1255u,1.70,4.70,2.0,4.0,1.20,3.50,8.0,8.0,15.00,13569,3257,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,50030.0,33467.0,42.0,17234.0,9468.0,149883.0,821.0,8358.0,3257
intel core i9 9880h,2.30,4.80,8.0,16.0,,,,,45.00,13670,2486,8 x 32 kb,8 x 32 kb,8 x 256 kb,16 mb,,,,52823.0,30402.0,37.0,25911.0,5336.0,205646.0,764.0,10633.0,2486
intel core i7 1265u,1.80,4.80,2.0,4.0,1.30,3.60,8.0,8.0,15.00,13776,3187,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,50760.0,33689.0,47.0,17506.0,9496.0,150413.0,889.0,8346.0,3187
intel core i7 1260u,1.00,4.70,2.0,4.0,0.80,3.50,8.0,8.0,9.00,14001,3157,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,45874.0,31390.0,68.0,16588.0,9529.0,152597.0,1048.0,8274.0,3157
intel core i9 9980hk,2.40,5.00,8.0,16.0,,,,,45.00,14102,2528,8 x 32 kb,8 x 32 kb,8 x 256 kb,16 mb,,,,53234.0,31105.0,40.0,26472.0,5380.0,208029.0,830.0,11168.0,2528
apple m1 8 core,3.20,,4.0,4.0,2.10,,4.0,4.0,15.10,14153,3686,,,,,,,,33448.0,35673.0,141.0,21183.0,8602.0,169233.0,1372.0,6800.0,3686
amd ryzen 5 4600hs,3.00,4.00,6.0,12.0,,,,,35.00,14247,2398,6 x 32 kb,6 x 32 kb,6 x 512 kb,8 mb,,,,44827.0,26428.0,30.0,21488.0,12171.0,199311.0,659.0,12724.0,2398
intel core i3 12100e,3.20,4.20,4.0,8.0,,,,,60.00,14250,3481,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,,,,41460.0,32100.0,58.0,15976.0,8175.0,162208.0,1090.0,10848.0,3481
intel core i7 10870h,2.20,5.00,8.0,16.0,,,,,45.00,14382,2665,8 x 32 kb,8 x 32 kb,8 x 256 kb,16 mb,,,,52758.0,33237.0,42.0,28125.0,4913.0,222102.0,726.0,13950.0,2665
amd ryzen 5 4600h,3.00,4.00,6.0,12.0,,,,,45.00,14418,2433,6 x 32 kb,6 x 32 kb,6 x 512 kb,8 mb,,,,46235.0,27182.0,29.0,22028.0,12492.0,205149.0,634.0,13172.0,2433
intel core 3 100u,1.20,4.70,2.0,4.0,0.90,3.30,4.0,4.0,15.00,14493,3769,2 x 32 kb,2 x 48 kb,2 x 1280 kb,10 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,43199.0,31453.0,64.0,17410.0,9359.0,159634.0,1113.0,9149.0,3769
intel core i3 1220p,1.50,4.40,2.0,4.0,1.10,3.30,8.0,8.0,28.00,14514,3406,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,54969.0,38216.0,32.0,21082.0,11093.0,182253.0,620.0,10123.0,3406
amd ryzen 5 pro 5675u,2.30,4.30,6.0,12.0,,,,,15.00,14520,2961,6 x 32 kb,6 x 32 kb,6 x 512 kb,16 mb,,,,55652.0,29687.0,46.0,18067.0,10851.0,169464.0,640.0,11040.0,2961
intel core i5 12500te,1.90,4.30,6.0,12.0,,,,,35.00,14536,2960,6 x 32 kb,6 x 48 kb,6 x 1280 kb,18 mb,,,,46055.0,35224.0,62.0,16741.0,8579.0,166517.0,950.0,11286.0,2960
intel core i9 10880h,2.30,5.10,8.0,16.0,,,,,45.00,14642,2765,4 x 32 kb,4 x 32 kb,4 x 256 kb,16 mb,,,,52334.0,33022.0,47.0,27460.0,5113.0,218023.0,791.0,12734.0,2765
intel core i5 1335u,1.30,4.60,2.0,4.0,0.90,3.40,8.0,8.0,15.00,14695,3411,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,52899.0,36210.0,51.0,18286.0,10308.0,163845.0,858.0,9161.0,3411
intel core i7 1355u,1.70,5.00,2.0,4.0,1.20,3.70,8.0,8.0,15.00,14790,3498,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,54234.0,36223.0,56.0,18038.0,10140.0,159548.0,933.0,8863.0,3498
intel core i9 10885h,2.40,5.30,8.0,16.0,,,,,45.00,14790,2714,8 x 32 kb,8 x 32 kb,8 x 256 kb,16 mb,,,,52811.0,33142.0,51.0,27972.0,5110.0,215649.0,854.0,13118.0,2714
amd ryzen 5 pro 4400ge,3.30,4.20,6.0,12.0,,,,,35.00,14795,2664,12 x 32 kb,12 x 32 kb,12 x 512 kb,8 mb,,,,51743.0,30180.0,23.0,23627.0,13703.0,213717.0,522.0,13492.0,2664
intel core i7 1365u,1.80,5.20,2.0,4.0,1.30,3.90,8.0,8.0,15.00,14806,3529,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,53866.0,35575.0,63.0,17781.0,10090.0,156995.0,1007.0,8693.0,3529
intel core i7 10875h,2.30,5.10,8.0,16.0,,,,,45.00,14857,2728,4 x 32 kb,4 x 32 kb,4 x 256 kb,16 mb,,,,52806.0,33240.0,50.0,27942.0,5154.0,219311.0,848.0,13430.0,2728
amd ryzen 5 pro 5650u,2.30,4.20,6.0,12.0,,,,,15.00,14905,2934,6 x 32 kb,6 x 32 kb,6 x 512 kb,16 mb,,,,56385.0,29925.0,47.0,18363.0,11200.0,172892.0,682.0,11311.0,2934
amd ryzen 5 5625u,2.30,4.30,6.0,12.0,,,,,15.00,14907,2880,6 x 32 kb,6 x 32 kb,6 x 512 kb,16 mb,,,,56069.0,30073.0,46.0,18563.0,11329.0,177902.0,655.0,11748.0,2880
intel core i5 1345u,1.60,4.70,2.0,4.0,1.20,3.50,8.0,8.0,15.00,14992,3498,2 x 32 kb,2 x 48 kb,2 x 1280 kb,12 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,54504.0,36621.0,53.0,18855.0,10482.0,165012.0,883.0,9221.0,3498
amd ryzen 5 pro 7530u,2.00,4.50,6.0,12.0,,,,,15.00,15021,3027,6 x 32 kb,6 x 32 kb,6 x 512 kb,16 mb,,,,56691.0,30536.0,47.0,18205.0,11309.0,179139.0,639.0,11759.0,3027
intel core i9 10900te,1.80,4.50,10.0,20.0,,,,,35.00,15095,2343,10 x 32 kb,10 x 32 kb,10 x 256 kb,20 mb,,,,59038.0,34491.0,52.0,28728.0,5398.0,220678.0,882.0,12811.0,2343
