CHECKING RESULT OF CPU:

--------------------------------------------------
Checking number of records in JSON file and database
Number of records in JSON file: 2406
Number of records in database: 2348

Number of records in JSON file and database do not match
--------------------------------------------------

--------------------------------------------------
Checking if all records in JSON file are in database
Checking record 279: Matched
Checking record 280: Matched
Checking record 281: Matched
Checking record 282: Matched
Checking record 283: Matched
Checking record 284: Matched
Checking record 285: Matched
Checking record 286: Unmatched
Checking record 287: Matched
Checking record 288: Matched
Checking record 289: Matched
Checking record 290: Matched
Checking record 291: Matched
Checking record 292: Matched
Checking record 293: Matched
Checking record 294: Matched
Checking record 295: Matched
Checking record 296: Matched
Checking record 297: Matched
Checking record 298: Matched
Checking record 299: Matched
Checking record 300: Matched
Checking record 301: Matched
Checking record 302: Matched
Checking record 303: Matched
Checking record 304: Matched
Checking record 305: Matched
Checking record 306: Matched
Checking record 307: Matched
Checking record 308: Matched
Checking record 309: Matched
Checking record 310: Matched
Checking record 311: Unmatched
Checking record 312: Matched
Checking record 313: Matched
Checking record 314: Unmatched
Checking record 315: Unmatched
Checking record 316: Matched
Checking record 317: Matched
Checking record 318: Matched
Checking record 319: Matched
Checking record 320: Matched
Checking record 321: Matched
Checking record 322: Matched
Checking record 323: Matched
Checking record 324: Matched
Checking record 325: Matched
Checking record 326: Matched
Checking record 327: Matched
Checking record 328: Matched
Checking record 329: Matched
Checking record 330: Matched
Checking record 331: Matched
Checking record 332: Matched
Checking record 333: Matched
Checking record 334: Matched
Checking record 335: Matched
Checking record 336: Matched
Checking record 337: Matched
Checking record 338: Matched
Checking record 339: Matched
Checking record 340: Matched
Checking record 341: Matched
Checking record 342: Matched
Checking record 343: Matched
Checking record 344: Matched
Checking record 345: Matched
Checking record 346: Matched
Checking record 347: Matched
Checking record 348: Matched
Checking record 349: Matched
Checking record 350: Matched
Checking record 351: Matched
Checking record 352: Matched
Checking record 353: Matched
Checking record 354: Matched
Checking record 355: Matched
Checking record 356: Matched
Checking record 357: Matched
Checking record 358: Matched
Checking record 359: Matched
Checking record 360: Matched
Checking record 361: Matched
Checking record 362: Matched
Checking record 363: Matched
Checking record 364: Matched
Checking record 365: Matched
Checking record 366: Matched
Checking record 367: Matched
Checking record 368: Matched
Checking record 369: Matched
Checking record 370: Matched
Checking record 371: Matched
Checking record 372: Matched
Checking record 373: Matched
Checking record 374: Matched
Checking record 375: Matched
Checking record 376: Matched
Checking record 377: Matched
Checking record 378: Matched
Checking record 379: Matched
Checking record 380: Matched
Checking record 381: Matched
Checking record 382: Matched
Checking record 383: Unmatched
Checking record 384: Matched
Checking record 385: Matched
Checking record 386: Matched
Checking record 387: Matched
Checking record 388: Matched
Checking record 389: Matched
Checking record 390: Matched
Checking record 391: Matched
Checking record 392: Matched
Checking record 393: Matched
Checking record 394: Matched
Checking record 395: Matched
Checking record 396: Matched
Checking record 397: Matched
Checking record 398: Matched
Checking record 399: Matched
Checking record 400: Matched
Checking record 401: Matched
Checking record 402: Matched
Checking record 403: Matched
Checking record 404: Matched
Checking record 405: Matched
Checking record 406: Matched
Checking record 407: Matched
Checking record 408: Matched
Checking record 409: Matched
Checking record 410: Matched
Checking record 411: Matched
Checking record 412: Matched
Checking record 413: Matched
Checking record 414: Matched
Checking record 415: Matched
Checking record 416: Unmatched
Checking record 417: Matched
Checking record 418: Matched
Checking record 419: Matched
Checking record 420: Matched
Checking record 421: Matched
Checking record 422: Matched
Checking record 423: Matched
Checking record 424: Matched
Checking record 425: Matched
Checking record 426: Matched
Checking record 427: Matched
Checking record 428: Matched
Checking record 429: Matched
Checking record 430: Matched
Checking record 431: Matched
Checking record 432: Matched
Checking record 433: Matched
Checking record 434: Matched
Checking record 435: Matched
Checking record 436: Matched
Checking record 437: Matched
Checking record 438: Matched
Checking record 439: Matched
Checking record 440: Matched
Checking record 441: Matched
Checking record 442: Matched
Checking record 443: Matched
Checking record 444: Matched
Checking record 445: Matched
Checking record 446: Matched
Checking record 447: Matched
Checking record 448: Matched
Checking record 449: Matched
Checking record 450: Matched
Checking record 451: Matched
Checking record 452: Matched
Checking record 453: Matched
Checking record 454: Matched
Checking record 455: Matched
Checking record 456: Matched
Checking record 457: Matched
Checking record 458: Matched
Checking record 459: Matched
Checking record 460: Matched
Checking record 461: Matched
Checking record 462: Matched
Checking record 463: Matched
Checking record 464: Matched
Checking record 465: Matched
Checking record 466: Matched
Checking record 467: Matched
Checking record 468: Matched
Checking record 469: Matched
Checking record 470: Matched
Checking record 471: Matched
Checking record 472: Matched
Checking record 473: Matched
Checking record 474: Matched
Checking record 475: Matched
Checking record 476: Matched
Checking record 477: Matched
Checking record 478: Matched
Checking record 479: Matched
Checking record 480: Matched
Checking record 481: Matched
Checking record 482: Matched
Checking record 483: Matched
Checking record 484: Matched
Checking record 485: Matched
Checking record 486: Matched
Checking record 487: Matched
Checking record 488: Matched
Checking record 489: Matched
Checking record 490: Matched
Checking record 491: Matched
Checking record 492: Matched
Checking record 493: Matched
Checking record 494: Matched
Checking record 495: Matched
Checking record 496: Unmatched
Checking record 497: Matched
Checking record 498: Matched
Checking record 499: Matched
Checking record 500: Matched
Checking record 501: Matched
Checking record 502: Matched
Checking record 503: Matched
Checking record 504: Matched
Checking record 505: Matched
Checking record 506: Matched
Checking record 507: Matched
Checking record 508: Matched
Checking record 509: Matched
Checking record 510: Matched
Checking record 511: Matched
Checking record 512: Matched
Checking record 513: Matched
Checking record 514: Matched
Checking record 515: Matched
Checking record 516: Matched
Checking record 517: Matched
Checking record 518: Matched
Checking record 519: Matched
Checking record 520: Matched
Checking record 521: Matched
Checking record 522: Matched
Checking record 523: Matched
Checking record 524: Matched
Checking record 525: Matched
Checking record 526: Matched
Checking record 527: Matched
Checking record 528: Matched
Checking record 529: Matched
Checking record 530: Matched
Checking record 531: Matched
Checking record 532: Matched
Checking record 533: Matched
Checking record 534: Matched
Checking record 535: Matched
Checking record 536: Matched
Checking record 537: Matched
Checking record 538: Matched
Checking record 539: Matched
Checking record 540: Matched
Checking record 541: Matched
Checking record 542: Matched
Checking record 543: Matched
Checking record 544: Matched
Checking record 545: Matched
Checking record 546: Matched
Checking record 547: Matched
Checking record 548: Matched
Checking record 549: Matched
Checking record 550: Matched
Checking record 551: Matched
Checking record 552: Matched
Checking record 553: Unmatched
Checking record 554: Matched
Checking record 555: Matched
Checking record 556: Matched
Checking record 557: Matched
Checking record 558: Matched
Checking record 559: Matched
Checking record 560: Matched
Checking record 561: Matched
Checking record 562: Matched
Checking record 563: Matched
Checking record 564: Matched
Checking record 565: Matched
Checking record 566: Matched
Checking record 567: Matched
Checking record 568: Matched
Checking record 569: Matched
Checking record 570: Matched
Checking record 571: Matched
Checking record 572: Unmatched
Checking record 573: Unmatched
Checking record 574: Matched
Checking record 575: Matched
Checking record 576: Matched
Checking record 577: Matched
Checking record 578: Matched
Checking record 579: Matched
Checking record 580: Matched
Checking record 581: Matched
Checking record 582: Matched
Checking record 583: Matched
Checking record 584: Matched
Checking record 585: Matched
Checking record 586: Matched
Checking record 587: Matched
Checking record 588: Matched
Checking record 589: Matched
Checking record 590: Matched
Checking record 591: Matched
Checking record 592: Matched
Checking record 593: Matched
Checking record 594: Matched
Checking record 595: Matched
Checking record 596: Matched
Checking record 597: Matched
Checking record 598: Matched
Checking record 599: Matched
Checking record 600: Matched
Checking record 601: Matched
Checking record 602: Matched
Checking record 603: Matched
Checking record 604: Matched
Checking record 605: Matched
Checking record 606: Matched
Checking record 607: Matched
Checking record 608: Matched
Checking record 609: Matched
Checking record 610: Matched
Checking record 611: Matched
Checking record 612: Matched
Checking record 613: Matched
Checking record 614: Matched
Checking record 615: Matched
Checking record 616: Matched
Checking record 617: Matched
Checking record 618: Matched
Checking record 619: Matched
Checking record 620: Matched
Checking record 621: Matched
Checking record 622: Matched
Checking record 623: Matched
Checking record 624: Matched
Checking record 625: Matched
Checking record 626: Matched
Checking record 627: Matched
Checking record 628: Matched
Checking record 629: Matched
Checking record 630: Matched
Checking record 631: Matched
Checking record 632: Matched
Checking record 633: Matched
Checking record 634: Matched
Checking record 635: Unmatched
Checking record 636: Matched
Checking record 637: Matched
Checking record 638: Matched
Checking record 639: Unmatched
Checking record 640: Matched
Checking record 641: Matched
Checking record 642: Matched
Checking record 643: Matched
Checking record 644: Matched
Checking record 645: Matched
Checking record 646: Matched
Checking record 647: Matched
Checking record 648: Matched
Checking record 649: Matched
Checking record 650: Matched
Checking record 651: Matched
Checking record 652: Matched
Checking record 653: Matched
Checking record 654: Matched
Checking record 655: Matched
Checking record 656: Matched
Checking record 657: Matched
Checking record 658: Matched
Checking record 659: Matched
Checking record 660: Matched
Checking record 661: Matched
Checking record 662: Matched
Checking record 663: Matched
Checking record 664: Matched
Checking record 665: Matched
Checking record 666: Matched
Checking record 667: Matched
Checking record 668: Matched
Checking record 669: Matched
Checking record 670: Matched
Checking record 671: Matched
Checking record 672: Matched
Checking record 673: Matched
Checking record 674: Matched
Checking record 675: Matched
Checking record 676: Matched
Checking record 677: Matched
Checking record 678: Matched
Checking record 679: Matched
Checking record 680: Matched
Checking record 681: Matched
Checking record 682: Matched
Checking record 683: Matched
Checking record 684: Matched
Checking record 685: Matched
Checking record 686: Unmatched
Checking record 687: Matched
Checking record 688: Unmatched
Checking record 689: Matched
Checking record 690: Matched
Checking record 691: Matched
Checking record 692: Matched
Checking record 693: Matched
Checking record 694: Matched
Checking record 695: Matched
Checking record 696: Matched
Checking record 697: Matched
Checking record 698: Matched
Checking record 699: Matched
Checking record 700: Matched
Checking record 701: Matched
Checking record 702: Matched
Checking record 703: Matched
Checking record 704: Matched
Checking record 705: Matched
Checking record 706: Matched
Checking record 707: Matched
Checking record 708: Matched
Checking record 709: Matched
Checking record 710: Matched
Checking record 711: Matched
Checking record 712: Matched
Checking record 713: Matched
Checking record 714: Matched
Checking record 715: Matched
Checking record 716: Matched
Checking record 717: Matched
Checking record 718: Matched
Checking record 719: Matched
Checking record 720: Unmatched
Checking record 721: Unmatched
Checking record 722: Unmatched
Checking record 723: Matched
Checking record 724: Matched
Checking record 725: Unmatched
Checking record 726: Matched
Checking record 727: Matched
Checking record 728: Matched
Checking record 729: Matched
Checking record 730: Matched
Checking record 731: Matched
Checking record 732: Matched
Checking record 733: Matched
Checking record 734: Matched
Checking record 735: Unmatched
Checking record 736: Matched
Checking record 737: Matched
Checking record 738: Matched
Checking record 739: Matched
Checking record 740: Matched
Checking record 741: Matched
Checking record 742: Matched
Checking record 743: Matched
Checking record 744: Matched
Checking record 745: Matched
Checking record 746: Matched
Checking record 747: Unmatched
Checking record 748: Matched
Checking record 749: Matched
Checking record 750: Matched
Checking record 751: Unmatched
Checking record 752: Matched
Checking record 753: Matched
Checking record 754: Matched
Checking record 755: Matched
Checking record 756: Matched
Checking record 757: Matched
Checking record 758: Matched
Checking record 759: Matched
Checking record 760: Unmatched
Checking record 761: Unmatched
Checking record 762: Matched
Checking record 763: Matched
Checking record 764: Unmatched
Checking record 765: Matched
Checking record 766: Matched
Checking record 767: Matched
Checking record 768: Matched
Checking record 769: Matched
Checking record 770: Matched
Checking record 771: Matched
Checking record 772: Matched
Checking record 773: Matched
Checking record 774: Matched
Checking record 775: Matched
Checking record 776: Matched
Checking record 777: Matched
Checking record 778: Matched
Checking record 779: Matched
Checking record 780: Matched
Checking record 781: Matched
Checking record 782: Matched
Checking record 783: Matched
Checking record 784: Matched
Checking record 785: Matched
Checking record 786: Matched
Checking record 787: Matched
Checking record 788: Matched
Checking record 789: Matched
Checking record 790: Matched
Checking record 791: Matched
Checking record 792: Matched
Checking record 793: Matched
Checking record 794: Matched
Checking record 795: Matched
Checking record 796: Matched
Checking record 797: Matched
Checking record 798: Matched
Checking record 799: Matched
Checking record 800: Matched
Checking record 801: Matched
Checking record 802: Matched
Checking record 803: Matched
Checking record 804: Matched
Checking record 805: Matched
Checking record 806: Matched
Checking record 807: Matched
Checking record 808: Matched
Checking record 809: Matched
Checking record 810: Matched
Checking record 811: Matched
Checking record 812: Matched
Checking record 813: Matched
Checking record 814: Matched
Checking record 815: Matched
Checking record 816: Matched
Checking record 817: Matched
Checking record 818: Matched
Checking record 819: Matched
Checking record 820: Matched
Checking record 821: Matched
Checking record 822: Matched
Checking record 823: Matched
Checking record 824: Matched
Checking record 825: Matched
Checking record 826: Matched
Checking record 827: Matched
Checking record 828: Matched
Checking record 829: Matched
Checking record 830: Matched
Checking record 831: Matched
Checking record 832: Matched
Checking record 833: Matched
Checking record 834: Matched
Checking record 835: Matched
Checking record 836: Matched
Checking record 837: Matched
Checking record 838: Unmatched
Checking record 839: Matched
Checking record 840: Matched
Checking record 841: Matched
Checking record 842: Matched
Checking record 843: Matched
Checking record 844: Matched
Checking record 845: Matched
Checking record 846: Matched
Checking record 847: Matched
Checking record 848: Unmatched
Checking record 849: Unmatched
Checking record 850: Matched
Checking record 851: Matched
Checking record 852: Unmatched
Checking record 853: Unmatched
Checking record 854: Matched
Checking record 855: Matched
Checking record 856: Unmatched
Checking record 857: Matched
Checking record 858: Matched
Checking record 859: Matched
Checking record 860: Matched
Checking record 861: Matched
Checking record 862: Unmatched
Checking record 863: Matched
Checking record 864: Matched
Checking record 865: Matched
Checking record 866: Matched
Checking record 867: Matched
Checking record 868: Matched
Checking record 869: Matched
Checking record 870: Matched
Checking record 871: Matched
Checking record 872: Matched
Checking record 873: Matched
Checking record 874: Matched
Checking record 875: Matched
Checking record 876: Matched
Checking record 877: Matched
Checking record 878: Matched
Checking record 879: Matched
Checking record 880: Matched
Checking record 881: Matched
Checking record 882: Matched
Checking record 883: Matched
Checking record 884: Matched
Checking record 885: Matched
Checking record 886: Matched
Checking record 887: Matched
Checking record 888: Matched
Checking record 889: Matched
Checking record 890: Matched
